,words
0,10month
1,12month
2,2009
3,2010
4,2019s
5,2019t
6,201d
7,24month
8,60mb
9,abil
10,account
11,achiev
12,action
13,activ
14,actual
15,ad
16,adorei
17,advanc
18,advantag
19,adveis
20,advic
21,affili
22,agora
23,aicl
24,aiclesbasecom
25,almost
26,alot
27,alreadi
28,also
29,alway
30,amaz
31,amazon
32,america
33,american
34,amigo
35,amor
36,analysi
37,angel
38,announc
39,anoth
40,answer
41,anyon
42,anyth
43,app
44,appl
45,appropri
46,approv
47,aqui
48,around
49,asset
50,assist
51,associ
52,atravxc
53,attack
54,auction
55,auctionsnforex
56,australia
57,author
58,auto
59,autom
60,autopilot
61,award
62,away
63,awesom
64,babi
65,back
66,banda
67,bank
68,bargain
69,base
70,basic
71,battl
72,beat
73,beauti
74,becom
75,begin
76,believ
77,benefit
78,berkalikali
79,best
80,better
81,bigfollow
82,biggest
83,bill
84,billionair
85,black
86,blog
87,blogtalkradio
88,bloomberg
89,blow
90,board
91,bodi
92,bomb
93,bomba
94,bong
95,book
96,boom
97,boost
98,bore
99,brain
100,brainer
101,brand
102,break
103,bring
104,british
105,brown
106,brows
107,buck
108,budget
109,build
110,bullion
111,burn
112,busi
113,buy
114,buzz
115,call
116,campaign
117,canada
118,cancer
119,cannot
120,cant
121,capit
122,cara
123,card
124,cardin
125,care
126,carri
127,case
128,cash
129,cast
130,catch
131,caus
132,cekmobil
133,cekxl
134,celebr
135,cell
136,cent
137,chaer
138,challeng
139,chanc
140,chang
141,channel
142,charg
143,chas
144,chat
145,cheap
146,check
147,children
148,china
149,chines
150,choos
151,citi
152,class
153,click
154,clickbank
155,client
156,climat
157,close
158,club
159,code
160,coin
161,cointalk
162,cold
163,collect
164,coloco
165,color
166,come
167,comment
168,commentari
169,commiss
170,commit
171,commod
172,common
173,compani
174,compar
175,competit
176,complet
177,comput
178,confer
179,confiar
180,confid
181,connect
182,consum
183,content
184,continu
185,control
186,cook
187,cool
188,copenhagen
189,copi
190,corner
191,corpor
192,cost
193,costum
194,could
195,count
196,countri
197,coupon
198,courag
199,cours
200,cover
201,crazi
202,creat
203,credit
204,cultur
205,currenc
206,current
207,custom
208,cute
209,cuttingedg
210,daili
211,danc
212,dare
213,data
214,date
215,david
216,day
217,dead
218,deal
219,death
220,debt
221,design
222,detailsnn
223,determin
224,develop
225,dglparnershomebiz
226,dianaricketthomebiz
227,didnt
228,diet
229,differ
230,digit
231,direct
232,discov
233,diseas
234,doesnt
235,dog
236,dollar
237,domain
238,domin
239,done
240,dont
241,donu
242,doubl
243,download
244,dream
245,drink
246,drive
247,droid
248,drop
249,drug
250,dxemuito
251,eagl
252,earli
253,earn
254,easi
255,ebook
256,econom
257,economi
258,edit
259,educ
260,effect
261,effo
262,either
263,els
264,email
265,emiss
266,employ
267,energi
268,engin
269,enjoy
270,enough
271,enteain
272,entrepreneur
273,episod
274,ess
275,est
276,estat
277,estim
278,euro
279,even
280,event
281,ever
282,everi
283,everyday
284,everyon
285,everyth
286,exchang
287,excit
288,exclus
289,exp
290,expand
291,expect
292,expens
293,experi
294,express
295,extra
296,eye
297,face
298,facebook
299,fail
300,failur
301,fall
302,famili
303,fashion
304,fast
305,faster
306,fav
307,favor
308,favorit
309,fear
310,feat
311,feel
312,fiddl
313,fight
314,figur
315,film
316,final
317,financ
318,financi
319,find
320,fine
321,finish
322,fire
323,firm
324,first
325,fit
326,floor
327,focus
328,follow
329,food
330,forc
331,forecast
332,forex
333,form
334,formula
335,forward
336,fought
337,found
338,four
339,free
340,friday
341,friend
342,fruit
343,full
344,funciona
345,fund
346,futur
347,gaga
348,gain
349,galera
350,game
351,gate
352,gave
353,generat
354,gent
355,get
356,gett
357,giant
358,gift
359,girl
360,give
361,glad
362,glass
363,global
364,go
365,goal
366,goe
367,gold
368,good
369,googl
370,gosta
371,gotta
372,govern
373,grab
374,grand
375,great
376,greatest
377,green
378,groceri
379,ground
380,group
381,grow
382,growth
383,guid
384,guy
385,half
386,halloween
387,hand
388,happen
389,happi
390,hard
391,hate
392,havent
393,head
394,health
395,healthi
396,hear
397,hello
398,help
399,here
400,heyi
401,high
402,higher
403,highest
404,hill
405,histor
406,histori
407,hold
408,home
409,hope
410,hora
411,host
412,hour
413,hous
414,http
415,huge
416,human
417,hype
418,idea
419,imag
420,immedi
421,impoant
422,imposs
423,improv
424,includ
425,incom
426,increas
427,incred
428,index
429,india
430,indian
431,indic
432,indica
433,indico
434,individu
435,industri
436,info
437,inform
438,innov
439,insid
440,insight
441,inspir
442,instant
443,instantpay
444,insur
445,interest
446,intern
447,internet
448,interview
449,invest
450,investor
451,involv
452,ipad
453,iphon
454,iran
455,isnt
456,issu
457,jackson
458,jame
459,job
460,john
461,join
462,jona
463,jordan
464,juli
465,keep
466,keyword
467,kid
468,kill
469,kind
470,king
471,know
472,ladi
473,land
474,larg
475,larri
476,last
477,late
478,latest
479,launch
480,lead
481,leader
482,learn
483,least
484,leav
485,legal
486,less
487,let
488,level
489,lie
490,life
491,light
492,like
493,limit
494,line
495,link
496,list
497,lista
498,listar
499,listem
500,listen
501,littl
502,live
503,loan
504,local
505,lombardi
506,long
507,look
508,lose
509,loss
510,lost
511,lot
512,love
513,lower
514,luck
515,machin
516,made
517,magic
518,mai
519,mail
520,main
521,major
522,make
523,manag
524,mani
525,march
526,mari
527,mark
528,market
529,marketingu
530,mass
531,match
532,matter
533,mean
534,media
535,medic
536,meet
537,member
538,membership
539,memori
540,mental
541,mentor
542,mentorship
543,mesmo
544,messag
545,metal
546,method
547,michael
548,might
549,milhar
550,million
551,millionair
552,mind
553,mine
554,minha
555,minut
556,miss
557,mkting
558,mobil
559,mobsterworld
560,model
561,moment
562,money
563,month
564,morn
565,motiv
566,move
567,movement
568,movi
569,mrktng
570,much
571,muito
572,music
573,must
574,myspac
575,name
576,napoleon
577,nation
578,natur
579,near
580,need
581,network
582,never
583,newer
584,news
585,next
586,nice
587,night
588,nobrain
589,noit
590,norman
591,note
592,noth
593,nova
594,novemb
595,novo
596,now
597,nowplay
598,number
599,obama
600,octob
601,offer
602,offic
603,offici
604,offlin
605,one
606,onlin
607,open
608,opinion
609,oppoun
610,oprah
611,optic
612,option
613,order
614,organ
615,orkut
616,other
617,outlook
618,overal
619,owner
620,pack
621,packag
622,page
623,paid
624,pain
625,pair
626,paner
627,para
628,parent
629,pass
630,past
631,patient
632,paul
633,pay
634,payment
635,paypal
636,peopl
637,perfect
638,period
639,person
640,phone
641,photo
642,photograph
643,physic
644,pic
645,pick
646,pictur
647,pipe
648,place
649,plan
650,planet
651,plant
652,play
653,playstat
654,pleas
655,plus
656,pode
657,point
658,polit
659,popular
660,posit
661,possibl
662,post
663,potenti
664,pound
665,power
666,powerofnowawar
667,practic
668,predict
669,prelaunch
670,prepar
671,present
672,presid
673,press
674,pressur
675,price
676,problem
677,process
678,product
679,profession
680,profil
681,profit
682,program
683,progress
684,project
685,promo
686,promot
687,propey
688,protect
689,proven
690,provid
691,public
692,publish
693,purchas
694,push
695,quaer
696,qual
697,qualiti
698,quem
699,quer
700,question
701,quick
702,quot
703,race
704,rais
705,ralli
706,rate
707,reach
708,read
709,readi
710,real
711,realiti
712,realli
713,reason
714,receiv
715,recent
716,recess
717,record
718,recruit
719,reduc
720,reduct
721,reform
722,regist
723,relax
724,releas
725,religion
726,remain
727,rememb
728,repli
729,repo
730,requir
731,research
732,residu
733,respons
734,rest
735,result
736,retir
737,return
738,retweet
739,reuter
740,reveal
741,review
742,revolut
743,rich
744,richard
745,right
746,rise
747,risk
748,road
749,robot
750,rock
751,roll
752,round
753,rule
754,sabe
755,safeti
756,said
757,sale
758,save
759,savefor
760,say
761,school
762,scienc
763,scientist
764,search
765,season
766,second
767,secret
768,secur
769,see
770,seek
771,seem
772,seen
773,segu
774,seguidor
775,select
776,sell
777,send
778,senha
779,sens
780,seri
781,serious
782,serra
783,servic
784,set
785,sever
786,sexi
787,sexiest
788,share
789,ship
790,shoot
791,shop
792,shot
793,show
794,side
795,sign
796,signal
797,silver
798,simpl
799,simpli
800,sinc
801,singl
802,site
803,size
804,skyrocket
805,sleep
806,small
807,social
808,societi
809,softwar
810,sold
811,solut
812,solv
813,someon
814,someth
815,song
816,soon
817,sourc
818,south
819,special
820,speed
821,spend
822,spon
823,sponsor
824,spread
825,sta
826,stand
827,star
828,stas
829,state
830,staup
831,stay
832,stem
833,step
834,still
835,stock
836,stop
837,store
838,stori
839,straightup
840,strategi
841,street
842,strength
843,stress
844,strike
845,strong
846,structur
847,struggl
848,studi
849,stuff
850,stylish
851,subscrib
852,succeed
853,success
854,suggest
855,super
856,supernutri
857,suppo
858,sure
859,survey
860,surviv
861,system
862,take
863,talk
864,tard
865,target
866,team
867,tech
868,technic
869,techniqu
870,technolog
871,tell
872,tempo
873,term
874,test
875,thank
876,that
877,there
878,theyr
879,thing
880,think
881,thought
882,thousand
883,threat
884,three
885,time
886,tip
887,tire
888,today
889,todo
890,togeth
891,tomorrow
892,ton
893,tonight
894,took
895,tool
896,touch
897,track
898,trade
899,trader
900,tradit
901,traffic
902,train
903,travel
904,trend
905,tri
906,trial
907,true
908,truli
909,trump
910,truth
911,tryingg
912,turn
913,tweet
914,twitter
915,tycoon
916,u0e07u0e32u0epa
917,u25c
918,u266b
919,uhow
920,ultra
921,unavail
922,understand
923,unit
924,univers
925,unknown
926,unless
927,unlimit
928,updat
929,upload
930,usar
931,use
932,user
933,valu
934,ventur
935,victori
936,video
937,view
938,vincent
939,viral
940,visit
941,vital
942,voic
943,volatil
944,volta
945,vote
946,wait
947,wall
948,wallpap
949,wanna
950,want
951,wantt
952,ward
953,warm
954,warn
955,washington
956,wast
957,watch
958,water
959,way
960,wealth
961,webinar
962,websit
963,week
964,weekend
965,weight
966,welcom
967,well
968,west
969,what
970,white
971,whole
972,william
973,win
974,winfrey
975,winfri
976,wish
977,within
978,without
979,women
980,wonder
981,word
982,work
983,worker
984,world
985,would
986,write
987,wrong
988,wwwalkerkimberlyw
989,wwwpickyourpipecom
990,xbox
991,yahoo
992,year
993,yearbook
994,york
995,youll
996,your
997,youtub
998,youv
999,zenni
1000,island
1001,hilari
1002,swear
1003,okay
1004,2015
1005,stat
1006,across
1007,child
1008,alon
1009,senior
1010,treat
1011,entir
1012,storm
1013,breakfast
1014,relationship
1015,eahquak
1016,version
1017,plane
1018,cheer
1019,vine
1020,camera
1021,selfi
1022,decis
1023,screen
1024,caught
1025,mention
1026,hair
1027,tune
1028,blue
1029,asleep
1030,weak
1031,heat
1032,self
1033,promis
1034,boyfriend
1035,tear
1036,niall
1037,chill
1038,lang
1039,lunch
1040,femal
1041,sing
1042,mother
1043,wednesday
1044,dalla
1045,coupl
1046,clear
1047,sister
1048,loud
1049,hahaha
1050,score
1051,christma
1052,instead
1053,grade
1054,bought
1055,perform
1056,correct
1057,summer
1058,die
1059,terribl
1060,shade
1061,london
1062,cowboy
1063,daughter
1064,couldnt
1065,sorri
1066,convers
1067,bout
1068,hahahaha
1069,arriv
1070,dark
1071,anim
1072,unfollow
1073,congratul
1074,deep
1075,draw
1076,style
1077,proud
1078,longer
1079,sick
1080,imagin
1081,taken
1082,beer
1083,peac
1084,realiz
1085,drunk
1086,attent
1087,dude
1088,confus
1089,ring
1090,hella
1091,bruh
1092,spos
1093,hit
1094,crack
1095,rain
1096,type
1097,jump
1098,sent
1099,ceain
1100,wont
1101,goodnight
1102,colleg
1103,fuck
1104,though
1105,sooo
1106,leg
1107,teacher
1108,donat
1109,area
1110,usual
1111,wake
1112,shouldnt
1113,door
1114,avail
1115,breath
1116,polic
1117,winner
1118,contact
1119,exist
1120,justin
1121,madrid
1122,suck
1123,dick
1124,holi
1125,emot
1126,center
1127,speak
1128,behind
1129,felt
1130,prove
1131,honest
1132,sound
1133,bless
1134,brother
1135,chicken
1136,room
1137,later
1138,wine
1139,lucki
1140,android
1141,appear
1142,oklahoma
1143,fill
1144,player
1145,everybodi
1146,trip
1147,delet
1148,drake
1149,shower
1150,jesus
1151,damn
1152,hang
1153,dumb
1154,master
1155,mood
1156,nope
1157,often
1158,soul
1159,bitch
1160,coffe
1161,straight
1162,worri
1163,dinner
1164,fact
1165,forget
1166,space
1167,told
1168,schedul
1169,prayer
1170,shes
1171,relat
1172,invit
1173,piec
1174,gorgeous
1175,pero
1176,handl
1177,wouldnt
1178,cri
1179,yeah
1180,stage
1181,lmao
1182,wasnt
1183,ask
1184,remind
1185,hell
1186,seat
1187,station
1188,disappoint
1189,whatev
1190,gone
1191,walk
1192,honor
1193,dear
1194,taiwan
1195,stuck
1196,wife
1197,talent
1198,slow
1199,paper
1200,somebodi
1201,chris
1202,throw
1203,ticket
1204,scream
1205,laugh
1206,legend
1207,five
1208,wors
1209,flight
1210,cream
1211,sit
1212,sunday
1213,appar
1214,murder
1215,text
1216,origin
1217,piss
1218,block
1219,zayn
1220,dress
1221,nepal
1222,total
1223,saturday
1224,woman
1225,stick
1226,funni
1227,mess
1228,shit
1229,wed
1230,english
1231,yall
1232,alright
1233,footbal
1234,explain
1235,loui
1236,fair
1237,enter
1238,oscar
1239,awak
1240,scare
1241,hungri
1242,band
1243,random
1244,featur
1245,elect
1246,deserv
1247,sweet
1248,boy
1249,shake
1250,pizza
1251,harri
1252,sometim
1253,liampayn
1254,whos
1255,youd
1256,fake
1257,chees
1258,fan
1259,earlier
1260,charact
1261,spent
1262,joke
1263,father
1264,woke
1265,heaven
1266,radio
1267,normal
1268,outsid
1269,spring
1270,scene
1271,idiot
1272,except
1273,forev
1274,conc
1275,bihday
1276,end
1277,aliv
1278,park
1279,young
1280,nigga
1281,hotel
1282,marri
1283,extrem
1284,instagram
1285,chocol
1286,spot
1287,forgot
1288,cebu
1289,ruin
1290,tree
1291,meant
1292,suppos
1293,5sos
1294,wind
1295,along
1296,trust
1297,queen
1298,treasur
1299,cross
1300,snapchat
1301,holiday
1302,gonna
1303,mistak
1304,haha
1305,nobodi
1306,pull
1307,weather
1308,1duk
1309,accept
1310,general
1311,put
1312,church
1313,front
1314,town
1315,cooki
1316,lord
1317,california
1318,ugli
1319,probabl
1320,babe
1321,eat
1322,smoke
1323,doubt
1324,given
1325,snow
1326,feed
1327,regret
1328,cloud
1329,notic
1330,airpo
1331,rather
1332,monday
1333,quit
1334,annoy
1335,arent
1336,album
1337,locat
1338,faith
1339,communiti
1340,shut
1341,pray
1342,agre
1343,crush
1344,broke
1345,coach
1346,poor
1347,letter
1348,student
1349,surpris
1350,daddi
1351,came
1352,afternoon
1353,guess
1354,valentin
1355,tast
1356,tornado
1357,april
1358,discuss
1359,leagu
1360,liter
1361,finger
1362,judg
1363,smith
1364,anyway
1365,chest
1366,confirm
1367,exact
1368,till
1369,especi
1370,everywher
1371,freak
1372,consid
1373,heard
1374,middl
1375,decid
1376,ahead
1377,anymor
1378,left
1379,smell
1380,crash
1381,thursday
1382,festiv
1383,allow
1384,respect
1385,broken
1386,protest
1387,mayb
1388,kick
1389,texa
1390,clean
1391,east
1392,run
1393,weve
1394,fool
1395,aint
1396,kinda
1397,pretti
1398,skin
1399,knew
1400,winter
1401,japan
1402,appreci
1403,blame
1404,exam
1405,absolut
1406,safe
1407,definit
1408,went
1409,abl
1410,bowl
1411,cake
1412,awkward
1413,moon
1414,fli
1415,bird
1416,congrat
1417,ride
1418,aist
1419,choic
1420,tour
1421,stupid
1422,destroy
1423,yesterday
1424,shoe
1425,ball
1426,tomlinson
1427,ignor
1428,detail
1429,kiss
1430,snap
1431,window
1432,cloth
1433,arrest
1434,beach
1435,worst
1436,weird
1437,wear
1438,smile
1439,solo
